medicaid_only,POVPIP,PINCP,OCCP_2digit,PERNP,WAGP,INDP_2digit,ESR,ANC1P,WKL,SCHL,RELSHIPP,MSP,WRK,DIS,MAR,DREM,RAC3P,DOUT,NWLK,RAC2P,SSIP,NWLA,NWAB,HIMRKS,WKHP,DPHY,RAC1P,DDRS,RACAIAN,MARHYP,WKWN,RACWHT,POBP,ANC2P,COW,SSP,RETP,OIP,PAP,NWAV,PUMA,MIG,ANC,DEYE,INTP,WAOB,DEAR,NWRE,MIL,HISP
1,0.0,0.0,42,0.0,0.0,69,6.0,999,3.0,16.0,38,4.0,2.0,1,3,1.0,1,1.0,2.0,1000,0.0,2.0,2.0,0,40.0,1.0,1,2.0,0,2009.0,52.0,1,39,999,1.0,0.0,0.0,0.0,0.0,5.0,600,1.0,4,2,0.0,1,2,3.0,4.0,1
0,379.0,3000.0,96,3000.0,3000.0,49,6.0,999,1.0,19.0,38,6.0,1.0,2,5,2.0,1,2.0,3.0,1000,0.0,3.0,3.0,2,30.0,2.0,1,2.0,0,1995.0,12.0,1,27,999,3.0,0.0,0.0,0.0,0.0,5.0,600,1.0,4,2,0.0,1,2,3.0,4.0,1
0,379.0,4100.0,47,5200.0,5200.0,48,1.0,999,1.0,19.0,38,6.0,1.0,2,5,2.0,1,2.0,3.0,1000,0.0,3.0,3.0,2,30.0,2.0,1,2.0,0,1995.0,16.0,1,27,999,1.0,0.0,0.0,0.0,0.0,5.0,600,1.0,4,2,-1100.0,1,2,3.0,4.0,1
0,379.0,5700.0,41,5700.0,3300.0,85,6.0,795,1.0,19.0,38,6.0,1.0,2,5,2.0,10,2.0,3.0,4025,0.0,3.0,3.0,2,7.0,2.0,6,2.0,0,1995.0,17.0,0,6,999,1.0,0.0,0.0,0.0,0.0,5.0,300,1.0,1,2,0.0,1,2,3.0,4.0,1
0,379.0,32000.0,60,32000.0,32000.0,01,6.0,22,1.0,16.0,38,6.0,2.0,2,5,2.0,1,2.0,2.0,1000,0.0,2.0,2.0,2,75.0,2.0,1,2.0,0,1995.0,24.0,1,38,999,1.0,0.0,0.0,0.0,0.0,3.0,300,1.0,1,2,0.0,1,2,3.0,4.0,1
0,379.0,4500.0,39,4500.0,4500.0,85,1.0,999,1.0,16.0,38,6.0,1.0,2,5,2.0,1,2.0,3.0,1000,0.0,3.0,3.0,2,20.0,2.0,1,2.0,0,1995.0,15.0,1,27,999,3.0,0.0,0.0,0.0,0.0,5.0,600,3.0,4,2,0.0,1,2,3.0,4.0,1
0,379.0,21600.0,40,21600.0,21600.0,86,1.0,996,1.0,16.0,38,6.0,1.0,2,5,2.0,16,2.0,3.0,9000,0.0,3.0,2.0,0,84.0,2.0,9,2.0,0,1995.0,52.0,1,12,999,1.0,0.0,0.0,0.0,0.0,5.0,200,3.0,3,2,0.0,1,2,2.0,2.0,5
0,379.0,10000.0,23,10000.0,10000.0,78,1.0,98,1.0,19.0,38,6.0,1.0,2,5,2.0,1,2.0,3.0,1000,0.0,3.0,3.0,0,20.0,2.0,1,2.0,0,1995.0,52.0,1,27,999,4.0,0.0,0.0,0.0,0.0,5.0,500,1.0,1,2,0.0,1,2,3.0,4.0,1
0,379.0,23600.0,25,23600.0,23600.0,78,1.0,541,1.0,19.0,38,6.0,1.0,2,5,2.0,2,2.0,3.0,3000,0.0,3.0,3.0,0,40.0,2.0,2,2.0,0,1995.0,52.0,0,440,999,4.0,0.0,0.0,0.0,0.0,5.0,400,1.0,1,2,0.0,6,2,3.0,4.0,1
1,27.0,4300.0,42,0.0,0.0,69,6.0,999,3.0,16.0,38,6.0,2.0,1,5,2.0,1,1.0,2.0,1000,4300.0,2.0,2.0,0,40.0,1.0,1,1.0,0,1995.0,52.0,1,38,999,1.0,0.0,0.0,0.0,0.0,5.0,300,1.0,4,1,0.0,1,2,3.0,4.0,1
0,379.0,10000.0,39,10000.0,10000.0,85,6.0,999,1.0,19.0,38,6.0,1.0,2,5,2.0,1,2.0,3.0,1000,0.0,3.0,3.0,0,40.0,2.0,1,2.0,0,1995.0,20.0,1,38,999,3.0,0.0,0.0,0.0,0.0,5.0,600,1.0,4,2,0.0,1,2,3.0,3.0,1
0,379.0,15000.0,41,15000.0,15000.0,86,6.0,32,1.0,18.0,38,6.0,2.0,2,5,2.0,1,2.0,2.0,1000,0.0,2.0,2.0,0,20.0,2.0,1,2.0,0,1995.0,40.0,1,38,999,1.0,0.0,0.0,0.0,0.0,5.0,500,3.0,1,2,0.0,1,2,3.0,4.0,1
