feature,mi_score,feature_type,correlation
POVPIP,0.08135613297407285,numeric,-0.3544383549065833
PINCP,0.0585423911373697,numeric,-0.24103901124341773
PERNP,0.05841965025403972,numeric,-0.25610797498234983
OCCP_2digit,0.053329358208423716,categorical,
WAGP,0.04913896848204646,numeric,-0.24739389919392313
INDP_2digit,0.042517523661330395,categorical,
ESR,0.03935010856965735,categorical,
ANC1P,0.037277205879906974,categorical,
WKL,0.03311167799461882,categorical,
SCHL,0.02935602082105759,categorical,
RELSHIPP,0.028143929824345333,categorical,
MSP,0.025671707576570744,categorical,
WRK,0.025128874292750708,categorical,
DIS,0.022473812788705513,categorical,
MAR,0.02203588384811023,categorical,
HIMRKS,0.021086664313814785,numeric,-0.13107315987561793
DREM,0.020103907659154402,categorical,
RAC3P,0.019727340760239912,categorical,
DOUT,0.01898514502742331,categorical,
RAC2P,0.018542350186154227,categorical,
NWLK,0.018269790611941783,numeric,-0.2061153607181941
SSIP,0.015857933834266147,numeric,0.19486253371753978
NWLA,0.01578172396972688,numeric,-0.19443866769929244
DPHY,0.015487438709808482,categorical,
RAC1P,0.015262067891253981,categorical,
DDRS,0.015069307829400282,categorical,
RACAIAN,0.014813221734093454,categorical,
NWAB,0.013288581355981766,numeric,-0.18194865861062184
MARHYP,0.010991584776125718,numeric,-0.023542045360042004
RACWHT,0.01037583520593939,categorical,
ANC2P,0.008290761411479122,categorical,
COW,0.00770370515925666,categorical,
WAOB,0.007436825393332125,numeric,-0.03391332296601761
WKHP,0.0073003809832619115,numeric,-0.08109475549558107
SSP,0.006241204517839494,numeric,0.08206765772483512
POBP,0.0059218477705014205,numeric,-0.02164065791364214
WKWN,0.005274456676396921,numeric,-0.08338671774258292
PWGTP,0.0050661700687339994,numeric,-0.024512913372254138
INTP,0.003949337198904335,numeric,-0.006736646198930412
PUMA,0.0037651043685085275,categorical,
MIG,0.003666770206239789,categorical,
ANC,0.003640529609952106,categorical,
DEYE,0.0030667178476532116,categorical,
NWRE,0.0030157855984447313,numeric,-0.06465180314358036
PAP,0.0027551631269171484,numeric,0.016600669622703783
MARHM,0.0022817046612448877,numeric,0.025514227595959664
NWAV,0.002098875753626661,numeric,-0.10239076412651725
DEAR,0.0017338605157644453,categorical,
MIL,0.0016900338954227954,categorical,
HISP,0.0015540511941380156,categorical,
AGEP,0.0013487318552132255,numeric,-0.013572346016708202
