WAGP,POVPIP,SEMP,income_group,income_source_count,poverty_band,has_wage_income,has_self_employment,ESR,COW,WKL,OCCP_2digit,INDP_2digit,employment_status_simple,employer_type,AGEP,SEX,MAR,MIG,NATIVITY,RAC1P,HISP,age_group,marital_status_simple,SCHL,SCH,education_level,currently_enrolled,DIS,DEAR,DEYE,DPHY,has_any_disability,STATE,PUMA,REGION,DIVISION,medicaid_only
0.0,0.0,0.0,,0,,0,0,6.0,1.0,3.0,42,69,Not_in_labor_force,Private,41,1,3,1.0,1,1,1,36-45,Divorced_Separated,16.0,1.0,HS_diploma,0,1,2,2,1.0,1,38,600,2,4,1
3000.0,379.0,0.0,Very_Low,1,200-400%,1,0,6.0,3.0,1.0,96,49,Not_in_labor_force,Government,22,1,5,1.0,1,1,1,18-25,Never_married,19.0,2.0,Some_college,1,2,2,2,2.0,0,38,600,2,4,0
5200.0,379.0,0.0,Very_Low,1,200-400%,1,0,1.0,1.0,1.0,47,48,Employed,Private,21,1,5,1.0,1,1,1,18-25,Never_married,19.0,2.0,Some_college,1,2,2,2,2.0,0,38,600,2,4,0
3300.0,379.0,2400.0,Very_Low,2,200-400%,1,1,6.0,1.0,1.0,41,85,Not_in_labor_force,Private,20,1,5,1.0,1,6,1,18-25,Never_married,19.0,3.0,Some_college,1,2,2,2,2.0,0,38,300,2,4,0
32000.0,379.0,0.0,Medium,1,200-400%,1,0,6.0,1.0,1.0,60,01,Not_in_labor_force,Private,19,1,5,1.0,1,1,1,18-25,Never_married,16.0,2.0,HS_diploma,1,2,2,2,2.0,0,38,300,2,4,0
4500.0,379.0,0.0,Very_Low,1,200-400%,1,0,1.0,3.0,1.0,39,85,Employed,Government,18,2,5,3.0,1,1,1,18-25,Never_married,16.0,2.0,HS_diploma,1,2,2,2,2.0,0,38,600,2,4,0
21600.0,379.0,0.0,Low,1,200-400%,1,0,1.0,1.0,1.0,40,86,Employed,Private,18,2,5,3.0,1,9,5,18-25,Never_married,16.0,1.0,HS_diploma,0,2,2,2,2.0,0,38,200,2,4,0
10000.0,379.0,0.0,Very_Low,1,200-400%,1,0,1.0,4.0,1.0,23,78,Employed,Government,22,1,5,1.0,1,1,1,18-25,Never_married,19.0,2.0,Some_college,1,2,2,2,2.0,0,38,500,2,4,0
23600.0,379.0,0.0,Low,1,200-400%,1,0,1.0,4.0,1.0,25,78,Employed,Government,31,1,5,1.0,2,2,1,26-35,Never_married,19.0,3.0,Some_college,1,2,2,2,2.0,0,38,400,2,4,0
0.0,27.0,0.0,,1,<100%,0,0,6.0,1.0,3.0,42,69,Not_in_labor_force,Private,32,1,5,1.0,1,1,1,26-35,Never_married,16.0,1.0,HS_diploma,0,1,2,1,1.0,1,38,300,2,4,1
10000.0,379.0,0.0,Very_Low,1,200-400%,1,0,6.0,3.0,1.0,39,85,Not_in_labor_force,Government,21,1,5,1.0,1,1,1,18-25,Never_married,19.0,2.0,Some_college,1,2,2,2,2.0,0,38,600,2,4,0
15000.0,379.0,0.0,Very_Low,1,200-400%,1,0,6.0,1.0,1.0,41,86,Not_in_labor_force,Private,19,2,5,3.0,1,1,1,18-25,Never_married,18.0,2.0,Some_college,1,2,2,2,2.0,0,38,500,2,4,0
6000.0,379.0,0.0,Very_Low,1,200-400%,1,0,1.0,1.0,1.0,64,07,Employed,Private,21,1,5,1.0,1,1,1,18-25,Never_married,19.0,2.0,Some_college,1,2,2,2,2.0,0,38,600,2,4,0
4800.0,379.0,0.0,Very_Low,1,200-400%,1,0,6.0,1.0,1.0,46,92,Not_in_labor_force,Private,19,2,5,1.0,1,1,1,18-25,Never_married,19.0,2.0,Some_college,1,2,2,2,2.0,0,38,600,2,4,0
5200.0,379.0,0.0,Very_Low,1,200-400%,1,0,1.0,2.0,1.0,36,78,Employed,Private,20,2,5,1.0,1,1,1,18-25,Never_married,20.0,3.0,Some_college,1,2,2,2,2.0,0,38,400,2,4,0
1500.0,379.0,0.0,Very_Low,1,200-400%,1,0,6.0,3.0,1.0,42,78,Not_in_labor_force,Government,23,1,5,1.0,1,1,1,18-25,Never_married,16.0,1.0,HS_diploma,0,2,2,2,2.0,0,38,300,2,4,0
5300.0,379.0,0.0,Very_Low,1,200-400%,1,0,6.0,1.0,1.0,42,77,Not_in_labor_force,Private,19,1,5,1.0,1,1,1,18-25,Never_married,19.0,2.0,Some_college,1,2,2,2,2.0,0,38,100,2,4,0
100000.0,501.0,0.0,Very_High,1,>400%,1,0,1.0,1.0,1.0,00,30,Employed,Private,54,1,1,3.0,1,1,1,46-55,Married,21.0,1.0,Bachelors,0,2,2,2,2.0,0,38,600,2,4,0
7500.0,379.0,0.0,Very_Low,1,200-400%,1,0,1.0,1.0,1.0,46,84,Employed,Private,18,2,5,3.0,2,1,1,18-25,Never_married,16.0,2.0,HS_diploma,1,2,2,2,2.0,0,38,200,2,4,0
11000.0,379.0,0.0,Very_Low,1,200-400%,1,0,6.0,1.0,1.0,01,46,Not_in_labor_force,Private,19,1,5,3.0,1,1,1,18-25,Never_married,19.0,3.0,Some_college,1,2,2,2,2.0,0,38,400,2,4,0
25000.0,379.0,0.0,Low,1,200-400%,1,0,6.0,1.0,1.0,62,07,Not_in_labor_force,Private,30,1,5,3.0,1,5,1,26-35,Never_married,16.0,1.0,HS_diploma,0,2,2,2,2.0,0,38,400,2,4,1
10000.0,379.0,0.0,Very_Low,1,200-400%,1,0,4.0,5.0,1.0,98,96,Not_in_labor_force,Government,18,1,5,3.0,1,8,2,18-25,Never_married,16.0,1.0,HS_diploma,0,2,2,2,2.0,0,38,200,2,4,0
0.0,379.0,0.0,,0,200-400%,0,0,6.0,1.0,2.0,91,86,Not_in_labor_force,Private,22,1,5,1.0,1,1,1,18-25,Never_married,19.0,2.0,Some_college,1,2,2,2,2.0,0,38,500,2,4,0
0.0,27.0,0.0,,1,<100%,0,0,6.0,1.0,3.0,42,69,Not_in_labor_force,Private,48,1,3,3.0,1,1,1,46-55,Divorced_Separated,16.0,1.0,HS_diploma,0,1,1,1,1.0,1,38,500,2,4,1
0.0,9.0,0.0,,1,<100%,0,0,6.0,1.0,3.0,42,69,Not_in_labor_force,Private,63,2,5,3.0,1,1,1,56-65,Never_married,16.0,1.0,HS_diploma,0,1,2,2,2.0,1,38,400,2,4,1
0.0,379.0,0.0,,1,200-400%,0,0,6.0,1.0,3.0,42,69,Not_in_labor_force,Private,54,2,3,1.0,1,1,1,46-55,Divorced_Separated,21.0,1.0,Bachelors,0,1,2,2,1.0,1,38,300,2,4,1
3500.0,379.0,1000.0,Very_Low,2,200-400%,1,1,3.0,1.0,1.0,52,85,Unemployed,Private,19,1,5,3.0,1,1,1,18-25,Never_married,19.0,2.0,Some_college,1,2,2,2,2.0,0,38,600,2,4,0
15600.0,379.0,0.0,Low,1,200-400%,1,0,1.0,4.0,1.0,38,94,Employed,Government,22,1,5,3.0,1,1,1,18-25,Never_married,19.0,2.0,Some_college,1,2,2,2,2.0,0,38,500,2,4,0
28000.0,379.0,0.0,Low,1,200-400%,1,0,6.0,1.0,1.0,62,07,Not_in_labor_force,Private,48,1,4,1.0,1,1,1,46-55,Divorced_Separated,17.0,1.0,HS_diploma,0,1,2,2,2.0,1,38,400,2,4,1
8900.0,379.0,0.0,Very_Low,1,200-400%,1,0,6.0,1.0,1.0,47,52,Not_in_labor_force,Private,20,2,5,3.0,1,1,2,18-25,Never_married,19.0,3.0,Some_college,1,2,2,2,2.0,0,38,400,2,4,0
5500.0,379.0,0.0,Very_Low,1,200-400%,1,0,1.0,4.0,1.0,27,78,Employed,Government,21,1,5,3.0,1,1,1,18-25,Never_married,18.0,2.0,Some_college,1,2,2,2,2.0,0,38,300,2,4,0
4500.0,379.0,0.0,Very_Low,1,200-400%,1,0,1.0,3.0,1.0,39,85,Employed,Government,18,2,5,3.0,1,1,1,18-25,Never_married,19.0,2.0,Some_college,1,2,2,2,2.0,0,38,600,2,4,0
10000.0,379.0,0.0,Very_Low,1,200-400%,1,0,6.0,3.0,1.0,39,85,Not_in_labor_force,Government,21,1,5,1.0,1,1,1,18-25,Never_married,19.0,2.0,Some_college,1,2,2,2,2.0,0,38,600,2,4,0
0.0,176.0,27500.0,,1,138-200%,0,1,1.0,6.0,1.0,62,01,Employed,Self_employed,33,1,1,1.0,1,1,1,26-35,Married,14.0,1.0,Less_than_HS,0,2,2,2,2.0,0,38,200,2,4,0
6500.0,379.0,0.0,Very_Low,1,200-400%,1,0,3.0,1.0,1.0,60,01,Unemployed,Private,21,1,5,3.0,1,1,1,18-25,Never_married,19.0,2.0,Some_college,1,2,2,2,2.0,0,38,400,2,4,0
17000.0,379.0,0.0,Low,1,200-400%,1,0,6.0,1.0,1.0,34,81,Not_in_labor_force,Private,20,2,5,1.0,1,1,1,18-25,Never_married,19.0,2.0,Some_college,1,2,2,2,2.0,0,38,500,2,4,0
8000.0,379.0,0.0,Very_Low,1,200-400%,1,0,6.0,1.0,1.0,41,86,Not_in_labor_force,Private,21,2,5,3.0,1,1,24,18-25,Never_married,19.0,2.0,Some_college,1,2,2,2,2.0,0,38,500,2,4,0
8000.0,379.0,0.0,Very_Low,1,200-400%,1,0,6.0,1.0,1.0,41,86,Not_in_labor_force,Private,21,2,5,2.0,2,9,1,18-25,Never_married,16.0,3.0,HS_diploma,1,2,2,2,2.0,0,38,400,2,4,0
8000.0,379.0,0.0,Very_Low,1,200-400%,1,0,1.0,4.0,1.0,42,78,Employed,Government,20,1,5,1.0,1,1,1,18-25,Never_married,19.0,3.0,Some_college,1,2,2,2,2.0,0,38,500,2,4,0
