feature_name,business_group,data_type,unique_values,correlation_with_target
WAGP,Income_Affordability,float64,428,-0.24739389919392313
POVPIP,Income_Affordability,float64,472,-0.3544383549065833
SEMP,Income_Affordability,float64,138,-0.03146646262737634
income_group,Income_Affordability,category,5,
income_source_count,Income_Affordability,int64,5,-0.08227875757884319
poverty_band,Income_Affordability,category,5,
has_wage_income,Income_Affordability,int64,2,-0.24673060328474122
has_self_employment,Income_Affordability,int64,2,-0.042894482821765674
ESR,Employment_Quality,float64,5,0.2921036143157183
COW,Employment_Quality,float64,9,-0.08334195723647246
WKL,Employment_Quality,float64,3,0.30544965621017567
OCCP_2digit,Employment_Quality,object,100,
INDP_2digit,Employment_Quality,object,92,
employment_status_simple,Employment_Quality,object,3,
employer_type,Employment_Quality,object,4,
AGEP,Demographics_Life_Stage,int64,48,-0.013572346016708202
SEX,Demographics_Life_Stage,int64,2,-0.0005225236512995009
MAR,Demographics_Life_Stage,int64,5,0.16939436998771426
MIG,Demographics_Life_Stage,float64,3,0.08050533550897183
NATIVITY,Demographics_Life_Stage,int64,2,-0.023795762206246567
RAC1P,Demographics_Life_Stage,int64,9,0.07200500816203963
HISP,Demographics_Life_Stage,int64,16,-0.012238880691649688
age_group,Demographics_Life_Stage,category,5,
marital_status_simple,Demographics_Life_Stage,object,3,
SCHL,Education,float64,18,-0.1997723856704989
SCH,Education,float64,3,-0.0244658373470592
education_level,Education,object,5,
currently_enrolled,Education,int64,2,-0.015806579705108577
DIS,Health_Disability,int64,2,-0.2515158621414361
DEAR,Health_Disability,int64,2,-0.06689902370435506
DEYE,Health_Disability,int64,2,-0.09447582795129418
DPHY,Health_Disability,float64,2,-0.2263109008277286
has_any_disability,Health_Disability,int64,2,0.2515158621414361
STATE,Geography,int64,1,
PUMA,Geography,int64,6,-0.04419702034463553
REGION,Geography,int64,1,
DIVISION,Geography,int64,1,
