income_group,poverty_band,has_wage_income,has_self_employment,employment_status_simple,employer_type,AGEP,SEX,MAR,age_group,marital_status_simple,education_level,currently_enrolled,STATE,PUMA,REGION,DIVISION,medicaid_only
,,0,0,Not_in_labor_force,Private,41,1,3,36-45,Divorced_Separated,HS_diploma,0,38,600,2,4,1
Very_Low,200-400%,1,0,Not_in_labor_force,Government,22,1,5,18-25,Never_married,Some_college,1,38,600,2,4,0
Very_Low,200-400%,1,0,Employed,Private,21,1,5,18-25,Never_married,Some_college,1,38,600,2,4,0
Very_Low,200-400%,1,1,Not_in_labor_force,Private,20,1,5,18-25,Never_married,Some_college,1,38,300,2,4,0
Medium,200-400%,1,0,Not_in_labor_force,Private,19,1,5,18-25,Never_married,HS_diploma,1,38,300,2,4,0
Very_Low,200-400%,1,0,Employed,Government,18,2,5,18-25,Never_married,HS_diploma,1,38,600,2,4,0
Low,200-400%,1,0,Employed,Private,18,2,5,18-25,Never_married,HS_diploma,0,38,200,2,4,0
Very_Low,200-400%,1,0,Employed,Government,22,1,5,18-25,Never_married,Some_college,1,38,500,2,4,0
Low,200-400%,1,0,Employed,Government,31,1,5,26-35,Never_married,Some_college,1,38,400,2,4,0
,<100%,0,0,Not_in_labor_force,Private,32,1,5,26-35,Never_married,HS_diploma,0,38,300,2,4,1
Very_Low,200-400%,1,0,Not_in_labor_force,Government,21,1,5,18-25,Never_married,Some_college,1,38,600,2,4,0
Very_Low,200-400%,1,0,Not_in_labor_force,Private,19,2,5,18-25,Never_married,Some_college,1,38,500,2,4,0
Very_Low,200-400%,1,0,Employed,Private,21,1,5,18-25,Never_married,Some_college,1,38,600,2,4,0
Very_Low,200-400%,1,0,Not_in_labor_force,Private,19,2,5,18-25,Never_married,Some_college,1,38,600,2,4,0
Very_Low,200-400%,1,0,Employed,Private,20,2,5,18-25,Never_married,Some_college,1,38,400,2,4,0
Very_Low,200-400%,1,0,Not_in_labor_force,Government,23,1,5,18-25,Never_married,HS_diploma,0,38,300,2,4,0
Very_Low,200-400%,1,0,Not_in_labor_force,Private,19,1,5,18-25,Never_married,Some_college,1,38,100,2,4,0
Very_High,>400%,1,0,Employed,Private,54,1,1,46-55,Married,Bachelors,0,38,600,2,4,0
Very_Low,200-400%,1,0,Employed,Private,18,2,5,18-25,Never_married,HS_diploma,1,38,200,2,4,0
Very_Low,200-400%,1,0,Not_in_labor_force,Private,19,1,5,18-25,Never_married,Some_college,1,38,400,2,4,0
Low,200-400%,1,0,Not_in_labor_force,Private,30,1,5,26-35,Never_married,HS_diploma,0,38,400,2,4,1
Very_Low,200-400%,1,0,Not_in_labor_force,Government,18,1,5,18-25,Never_married,HS_diploma,0,38,200,2,4,0
,200-400%,0,0,Not_in_labor_force,Private,22,1,5,18-25,Never_married,Some_college,1,38,500,2,4,0
,<100%,0,0,Not_in_labor_force,Private,48,1,3,46-55,Divorced_Separated,HS_diploma,0,38,500,2,4,1
,<100%,0,0,Not_in_labor_force,Private,63,2,5,56-65,Never_married,HS_diploma,0,38,400,2,4,1
,200-400%,0,0,Not_in_labor_force,Private,54,2,3,46-55,Divorced_Separated,Bachelors,0,38,300,2,4,1
Very_Low,200-400%,1,1,Unemployed,Private,19,1,5,18-25,Never_married,Some_college,1,38,600,2,4,0
Low,200-400%,1,0,Employed,Government,22,1,5,18-25,Never_married,Some_college,1,38,500,2,4,0
Low,200-400%,1,0,Not_in_labor_force,Private,48,1,4,46-55,Divorced_Separated,HS_diploma,0,38,400,2,4,1
Very_Low,200-400%,1,0,Not_in_labor_force,Private,20,2,5,18-25,Never_married,Some_college,1,38,400,2,4,0
Very_Low,200-400%,1,0,Employed,Government,21,1,5,18-25,Never_married,Some_college,1,38,300,2,4,0
Very_Low,200-400%,1,0,Employed,Government,18,2,5,18-25,Never_married,Some_college,1,38,600,2,4,0
Very_Low,200-400%,1,0,Not_in_labor_force,Government,21,1,5,18-25,Never_married,Some_college,1,38,600,2,4,0
,138-200%,0,1,Employed,Self_employed,33,1,1,26-35,Married,Less_than_HS,0,38,200,2,4,0
Very_Low,200-400%,1,0,Unemployed,Private,21,1,5,18-25,Never_married,Some_college,1,38,400,2,4,0
Low,200-400%,1,0,Not_in_labor_force,Private,20,2,5,18-25,Never_married,Some_college,1,38,500,2,4,0
Very_Low,200-400%,1,0,Not_in_labor_force,Private,21,2,5,18-25,Never_married,Some_college,1,38,500,2,4,0
Very_Low,200-400%,1,0,Not_in_labor_force,Private,21,2,5,18-25,Never_married,HS_diploma,1,38,400,2,4,0
Very_Low,200-400%,1,0,Employed,Government,20,1,5,18-25,Never_married,Some_college,1,38,500,2,4,0
Very_Low,200-400%,1,0,Not_in_labor_force,Private,30,2,5,26-35,Never_married,Some_college,0,38,300,2,4,1
Very_Low,200-400%,1,0,Employed,Private,19,1,5,18-25,Never_married,Some_college,1,38,500,2,4,0
,,0,0,Not_in_labor_force,Private,47,2,5,46-55,Never_married,Some_college,0,38,500,2,4,1
Very_Low,200-400%,1,0,Not_in_labor_force,Private,41,1,4,36-45,Divorced_Separated,HS_diploma,0,38,300,2,4,1
Very_Low,200-400%,1,0,Employed,Private,19,2,5,18-25,Never_married,Some_college,1,38,400,2,4,0
Low,200-400%,1,0,Not_in_labor_force,Private,31,1,5,26-35,Never_married,HS_diploma,0,38,500,2,4,1
,200-400%,0,0,Not_in_labor_force,Private,64,2,5,56-65,Never_married,HS_diploma,0,38,400,2,4,1
,200-400%,0,0,Unemployed,Unpaid,18,1,5,18-25,Never_married,Some_college,1,38,600,2,4,0
Very_Low,200-400%,1,0,Not_in_labor_force,Government,24,1,5,18-25,Never_married,Some_college,1,38,300,2,4,1
Very_Low,200-400%,1,0,Employed,Private,19,2,5,18-25,Never_married,Some_college,1,38,500,2,4,0
Medium,200-400%,1,0,Not_in_labor_force,Private,35,1,5,26-35,Never_married,Some_college,0,38,200,2,4,0
Very_Low,200-400%,1,0,Employed,Private,18,2,5,18-25,Never_married,Some_college,1,38,600,2,4,0
Very_Low,200-400%,1,0,Not_in_labor_force,Private,19,1,5,18-25,Never_married,HS_diploma,1,38,400,2,4,1
,200-400%,0,0,Not_in_labor_force,Private,18,1,5,18-25,Never_married,Some_college,1,38,500,2,4,0
Very_Low,200-400%,1,0,Employed,Private,22,1,5,18-25,Never_married,Some_college,1,38,300,2,4,0
Very_Low,200-400%,1,0,Not_in_labor_force,Private,19,1,5,18-25,Never_married,Some_college,1,38,600,2,4,0
Very_Low,200-400%,1,0,Employed,Private,19,2,5,18-25,Never_married,Some_college,1,38,600,2,4,0
,200-400%,0,0,Not_in_labor_force,Private,19,1,5,18-25,Never_married,Some_college,1,38,500,2,4,0
Very_Low,200-400%,1,0,Employed,Government,21,1,5,18-25,Never_married,Some_college,1,38,300,2,4,0
,200-400%,0,0,Not_in_labor_force,Private,21,1,5,18-25,Never_married,Some_college,1,38,300,2,4,0
Very_Low,200-400%,1,0,Not_in_labor_force,Government,22,1,5,18-25,Never_married,Some_college,1,38,600,2,4,0
Very_Low,200-400%,1,0,Not_in_labor_force,Government,42,1,3,36-45,Divorced_Separated,Some_college,0,38,300,2,4,1
Medium,200-400%,1,0,Not_in_labor_force,Private,34,1,5,26-35,Never_married,HS_diploma,0,38,500,2,4,0
,200-400%,0,0,Not_in_labor_force,Private,34,1,5,26-35,Never_married,Some_college,0,38,300,2,4,1
Very_Low,200-400%,1,0,Employed,Private,18,2,5,18-25,Never_married,Some_college,1,38,600,2,4,0
,200-400%,0,0,Not_in_labor_force,Private,29,1,5,26-35,Never_married,HS_diploma,0,38,600,2,4,0
Low,200-400%,1,0,Not_in_labor_force,Government,21,1,5,18-25,Never_married,HS_diploma,0,38,500,2,4,0
Very_Low,200-400%,1,0,Not_in_labor_force,Government,21,1,5,18-25,Never_married,Some_college,1,38,600,2,4,0
Low,200-400%,1,0,Not_in_labor_force,Private,20,1,5,18-25,Never_married,Some_college,1,38,200,2,4,0
Very_Low,200-400%,1,0,Not_in_labor_force,Government,29,1,5,26-35,Never_married,HS_diploma,0,38,300,2,4,1
Very_Low,200-400%,1,0,Employed,Private,21,2,5,18-25,Never_married,Some_college,1,38,300,2,4,0
Low,200-400%,1,0,Not_in_labor_force,Private,38,1,5,36-45,Never_married,HS_diploma,0,38,600,2,4,0
Very_Low,200-400%,1,0,Employed,Private,19,1,5,18-25,Never_married,Some_college,1,38,400,2,4,0
Low,138-200%,1,0,Employed,Private,39,1,1,36-45,Married,Less_than_HS,0,38,400,2,4,1
,>400%,0,1,Employed,Self_employed,27,1,5,26-35,Never_married,Less_than_HS,0,38,200,2,4,0
Low,200-400%,1,0,Not_in_labor_force,Private,26,1,5,26-35,Never_married,HS_diploma,1,38,300,2,4,0
Low,100-138%,1,0,Employed,Unpaid,51,1,1,46-55,Married,Less_than_HS,0,38,200,2,4,0
Very_Low,200-400%,1,0,Not_in_labor_force,Private,19,1,5,18-25,Never_married,Some_college,1,38,500,2,4,0
,<100%,0,0,Not_in_labor_force,Private,32,1,5,26-35,Never_married,HS_diploma,0,38,300,2,4,1
Low,200-400%,1,0,Employed,Private,20,1,5,18-25,Never_married,Some_college,1,38,600,2,4,0
,200-400%,0,0,Not_in_labor_force,Private,41,1,5,36-45,Never_married,HS_diploma,0,38,400,2,4,1
Very_Low,<100%,1,0,Employed,Private,31,2,5,26-35,Never_married,HS_diploma,0,38,100,2,4,0
,,0,0,Not_in_labor_force,Private,47,2,5,46-55,Never_married,HS_diploma,0,38,400,2,4,1
,>400%,0,1,Employed,Self_employed,27,1,5,26-35,Never_married,HS_diploma,0,38,200,2,4,0
Low,200-400%,1,0,Employed,Private,20,1,5,18-25,Never_married,Some_college,1,38,500,2,4,0
Very_Low,200-400%,1,0,Not_in_labor_force,Private,20,1,5,18-25,Never_married,Some_college,1,38,400,2,4,0
Low,200-400%,1,0,Employed,Government,30,1,5,26-35,Never_married,Some_college,1,38,300,2,4,0
,200-400%,0,0,Not_in_labor_force,Private,36,1,5,36-45,Never_married,HS_diploma,0,38,300,2,4,0
Very_Low,200-400%,1,0,Employed,Private,20,1,5,18-25,Never_married,Some_college,1,38,200,2,4,1
Very_Low,200-400%,1,0,Employed,Private,20,1,5,18-25,Never_married,Some_college,1,38,300,2,4,0
,<100%,0,0,Not_in_labor_force,Private,58,2,1,56-65,Married,HS_diploma,0,38,600,2,4,1
,<100%,0,0,Not_in_labor_force,Private,61,1,5,56-65,Never_married,HS_diploma,0,38,400,2,4,1
Low,200-400%,1,0,Not_in_labor_force,Private,29,1,5,26-35,Never_married,HS_diploma,0,38,300,2,4,1
Very_Low,200-400%,1,0,Not_in_labor_force,Private,18,1,5,18-25,Never_married,Some_college,1,38,500,2,4,0
,200-400%,0,0,Not_in_labor_force,Private,52,1,5,46-55,Never_married,Some_college,0,38,500,2,4,1
Very_Low,200-400%,1,0,Not_in_labor_force,Government,18,1,5,18-25,Never_married,HS_diploma,0,38,200,2,4,0
Very_Low,200-400%,1,0,Not_in_labor_force,Private,19,1,5,18-25,Never_married,Some_college,1,38,500,2,4,0
Low,200-400%,1,0,Not_in_labor_force,Government,38,1,3,36-45,Divorced_Separated,Bachelors,1,38,300,2,4,0
Very_Low,200-400%,1,0,Not_in_labor_force,Private,21,1,5,18-25,Never_married,Some_college,1,38,400,2,4,0
,200-400%,0,0,Not_in_labor_force,Private,19,1,5,18-25,Never_married,Less_than_HS,1,38,600,2,4,0
Very_Low,200-400%,1,0,Unemployed,Private,19,1,5,18-25,Never_married,HS_diploma,1,38,300,2,4,0
,200-400%,0,0,Not_in_labor_force,Private,21,1,5,18-25,Never_married,Some_college,1,38,300,2,4,0
Very_Low,200-400%,1,0,Not_in_labor_force,Private,18,1,5,18-25,Never_married,Some_college,1,38,500,2,4,0
,200-400%,0,0,Not_in_labor_force,Private,19,1,5,18-25,Never_married,Less_than_HS,1,38,300,2,4,1
Very_Low,200-400%,1,0,Employed,Private,19,2,5,18-25,Never_married,Some_college,1,38,500,2,4,0
Very_Low,200-400%,1,0,Not_in_labor_force,Private,19,2,5,18-25,Never_married,HS_diploma,1,38,600,2,4,0
Very_Low,200-400%,1,0,Not_in_labor_force,Private,50,1,5,46-55,Never_married,Some_college,0,38,300,2,4,0
,138-200%,0,1,Employed,Self_employed,33,1,1,26-35,Married,HS_diploma,0,38,400,2,4,0
Very_Low,200-400%,1,0,Not_in_labor_force,Private,23,1,5,18-25,Never_married,Some_college,1,38,400,2,4,0
Very_Low,200-400%,1,0,Not_in_labor_force,Private,19,1,5,18-25,Never_married,Some_college,1,38,500,2,4,0
Very_Low,200-400%,1,0,Not_in_labor_force,Private,18,1,5,18-25,Never_married,HS_diploma,1,38,400,2,4,0
Very_Low,200-400%,1,0,Not_in_labor_force,Private,19,1,5,18-25,Never_married,Some_college,1,38,500,2,4,0
,138-200%,0,1,Employed,Self_employed,33,1,1,26-35,Married,Less_than_HS,0,38,500,2,4,0
Very_Low,200-400%,1,0,Not_in_labor_force,Private,18,1,5,18-25,Never_married,HS_diploma,1,38,200,2,4,0
Very_Low,200-400%,1,0,Not_in_labor_force,Government,22,1,5,18-25,Never_married,Some_college,1,38,600,2,4,0
Very_Low,200-400%,1,0,Employed,Government,21,1,5,18-25,Never_married,Some_college,1,38,300,2,4,0
Very_Low,200-400%,1,0,Not_in_labor_force,Private,19,2,5,18-25,Never_married,Some_college,1,38,100,2,4,0
Very_Low,200-400%,1,0,Employed,Government,20,2,5,18-25,Never_married,Some_college,1,38,600,2,4,0
,200-400%,0,0,Not_in_labor_force,Private,22,1,5,18-25,Never_married,HS_diploma,1,38,300,2,4,0
Very_Low,200-400%,1,0,Employed,Private,18,2,5,18-25,Never_married,HS_diploma,1,38,600,2,4,0
Very_Low,<100%,1,0,Employed,Private,25,1,5,18-25,Never_married,HS_diploma,0,38,600,2,4,1
Very_Low,200-400%,1,0,Not_in_labor_force,Private,19,1,5,18-25,Never_married,Some_college,1,38,500,2,4,0
Very_Low,200-400%,1,0,Not_in_labor_force,Private,19,1,5,18-25,Never_married,HS_diploma,1,38,100,2,4,0
Low,200-400%,1,0,Employed,Private,18,2,5,18-25,Never_married,Some_college,0,38,200,2,4,0
,<100%,0,0,Not_in_labor_force,Private,48,1,3,46-55,Divorced_Separated,HS_diploma,0,38,200,2,4,1
,<100%,0,0,Not_in_labor_force,Private,32,1,5,26-35,Never_married,HS_diploma,0,38,300,2,4,1
Very_Low,200-400%,1,0,Not_in_labor_force,Private,31,1,5,26-35,Never_married,HS_diploma,0,38,300,2,4,1
Medium,200-400%,1,0,Not_in_labor_force,Private,34,1,5,26-35,Never_married,HS_diploma,0,38,400,2,4,0
