feature_name,business_group,data_type,unique_values,correlation_with_target
income_group,Income_Affordability,category,5,
poverty_band,Income_Affordability,category,5,
has_wage_income,Income_Affordability,int64,2,-0.24673060328474122
has_self_employment,Income_Affordability,int64,2,-0.042894482821765674
employment_status_simple,Employment_Quality,object,3,
employer_type,Employment_Quality,object,4,
AGEP,Demographics_Life_Stage,int64,48,-0.013572346016708202
SEX,Demographics_Life_Stage,int64,2,-0.0005225236512995009
MAR,Demographics_Life_Stage,int64,5,0.16939436998771426
age_group,Demographics_Life_Stage,category,5,
marital_status_simple,Demographics_Life_Stage,object,3,
education_level,Education,object,5,
currently_enrolled,Education,int64,2,-0.015806579705108577
STATE,Geography,int64,1,
PUMA,Geography,int64,6,-0.04419702034463553
REGION,Geography,int64,1,
DIVISION,Geography,int64,1,
