,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
POVPIP,-0.13073634572885212,0.0868339824660891,0.01765186011433862,0.04274117676388701,-0.021071680110274073,-0.11521133582005931,0.009427020990868376,-0.02839277484207466,-0.04284508589140444,0.04594538580373042
PINCP,-0.18202328109916588,0.07874776683391521,0.01161083768706396,0.05103565853851304,-0.07312825585223093,-0.20960766763060928,-0.016111350199772452,0.04070769502671271,-0.007936243306139276,0.08238896301874875
PERNP,-0.20683856023019215,0.05919245027939821,0.0077031308771262075,0.04933689566146057,-0.06383064230771257,-0.18517363805567055,-0.005419219315446054,0.034899424261749114,-0.017450421339604588,0.07304202345273639
WAGP,-0.2022863681687163,0.04356717849070624,0.0041712431834165925,0.04417336899664015,-0.06293634790738317,-0.17824217912540707,-0.007190521518447599,0.041538222495243804,-0.0014879113407799682,0.06023892731606755
SSIP,0.08191634123979188,0.0019151682226080657,-0.020408466083942034,-0.014913280883469916,0.0020737073530496287,-0.003187718375063653,-0.09613133627399328,0.11427120830461988,0.02474030686497114,-0.00885704761552461
WKHP,-0.05919822524560938,0.030096416889063005,-0.00581818082218391,-0.01574901437138182,-0.05103926588465271,-0.15476302997049662,-0.0011547675843280314,0.06686095709943257,0.0012436155368927976,0.09059270180050685
MARHYP,-0.06484419136434051,-0.028958845764398583,0.05370629093550394,0.010035009613534762,-0.07321402795289424,-0.10703749515718453,-0.04003906418485806,0.03281197650603061,0.02700293862460039,0.03103985352203681
WKWN,-0.06533880927720383,0.0512125009058648,-0.004797460516956342,0.006422489487163341,-0.03086667135400957,-0.13860443826216218,-0.07656794076057438,0.09285528899014375,0.0027778660297891333,0.02491755342735752
POBP,-0.0018368013945598586,-0.1814794034425396,0.18558011371790206,-0.10708836055828386,0.07003586600790976,-0.10834541390004959,0.09714367982086886,0.06579611110883882,-0.06220543568550222,0.005840424661938549
SSP,0.09676415917134683,0.04558539450015978,0.00735258824641194,0.0005005261984170201,-0.001188903760899529,-0.0503878984367524,-0.04303535281199477,0.019182929729727682,0.0014387888611926969,-0.015951576867320183
RETP,0.03778934574285249,0.041336054878531064,0.010962321192023394,0.0003166019296998446,-0.020720677744701765,-0.04394235751254314,-0.011042949877676417,0.0094300405899099,0.02474906047029024,0.01693074236657266
OIP,0.02543533477915447,0.029192984616957973,0.002771633312007693,-0.005548591025749672,-0.022469998285848572,-0.04683684434891766,-0.012453400730717618,-0.002537538157848969,0.04645869038622195,0.031626315756293225
PAP,0.016105731645590354,-0.010103103822415568,-0.005967978966068266,-0.006123524818947013,0.0006666376731101669,-0.026388014481724953,-0.00038690525347969545,0.013204715015712437,0.005147339424919517,0.001948745308034766
INTP,0.004081213227866823,0.022577126436344342,0.008623268914489321,0.015922373348069452,-0.015830566469460627,-0.0337754805028489,0.0029699938225697664,-0.010088341924068489,-0.008577582873155354,0.02398683807466212
OCCP_2digit_01,-0.019215815017510008,0.007730168585435746,-0.005847883298022598,-0.0007572924300449646,-0.01345284162214605,-0.007296166308351684,0.0045369305827490936,0.0027400539004245883,-0.015260429534835585,0.004943127420129131
OCCP_2digit_02,-0.014830418031435233,0.037105856164176096,0.02082618776797826,0.016590604519185814,-0.007961989491524157,-0.029533519028064545,-0.008177334002370334,-0.017430945396058745,-0.05175978923218849,0.029484446304616996
OCCP_2digit_03,-0.005486007535143796,-0.0023100047990095435,0.006223947649840217,0.0012133278941514059,-0.001280302936454758,-0.00950032651292311,0.011676097826358915,-0.01240495143099149,-0.010074312813661584,-0.003012787501106562
OCCP_2digit_04,-0.023854650216062635,0.007010025513049458,-0.010184400782370342,0.018666142875317506,-0.019713714348990052,-0.030578512982500423,-0.003783541437658522,9.410422650629746e-05,0.010959443518595471,0.004246534550529951
OCCP_2digit_05,-0.006691831074556805,0.00936772534120668,-0.005005200727964938,0.011501075119153692,-0.007134664398338597,-0.021760438568378615,-0.0018182465358275168,0.0008555735733197234,0.004426250330391937,0.0025371079434385324
OCCP_2digit_06,-0.010157759615807919,0.00742164110692474,0.01351444110217945,0.005723165139241834,0.004770162332481148,-0.014966651401372533,0.003217163839147441,-0.004609341449375082,0.009216198197747327,-0.008548373836156586
OCCP_2digit_07,-0.017036632720371685,0.004201483332319474,-0.003785145680065515,0.0016158914357628316,0.006400186860390726,-0.017630173301348147,-0.00039197800910445446,0.011744915104565434,0.004103971670998657,0.005743929246074975
OCCP_2digit_08,-0.02120477993322955,0.014828240594801331,0.00488915405569125,0.013317487046318788,-0.005288797048538619,-0.015638345994383705,-0.013580187592888093,0.0010500455166906897,-0.005092517134317437,-0.0025868246225251024
OCCP_2digit_09,-0.00823172967096013,0.007401292788366789,-0.0016215950448256742,0.0031649277481691647,-0.0017765232484951328,-0.015288895673412978,0.01573789920263935,0.015234389469410803,-6.657008949485788e-05,-0.006233998402837004
OCCP_2digit_10,-0.023695677719810317,0.010446438407064834,0.01487657823170093,0.012453650649299016,-0.008478143437573504,-0.016664823244727116,1.3511812750888197e-06,0.01684277971440787,-0.00792930845391826,0.0012772778176700222
OCCP_2digit_11,-0.017727502861656315,0.005763036665623068,0.005413131337368639,0.011867970435763434,-0.008069504556627895,-0.013584392534988957,0.008576247916897928,0.019059605912685573,0.001778218343637561,0.004002739533016081
OCCP_2digit_12,-0.010234319313396571,0.005444550280846648,-0.00043177913245748907,0.005652187006432683,1.6781312881979007e-05,-0.00324759793596728,-0.002349405675372618,0.0036174590585035804,-0.007366244738991168,-0.005529669529271697
OCCP_2digit_13,-0.011516598645547741,0.003729312157727177,-0.006149806916047898,0.004103801515418072,-0.0019727794304044,-0.004045077336124139,-0.011948101455797236,0.0011151842970286985,0.011987301523227994,0.002615825061291599
OCCP_2digit_14,-0.017570993446436863,0.01248361438177854,0.0006664794694937085,0.006077651469684269,-0.005507447391127294,-0.02699656017438603,-0.018915809469892426,0.011225889940510367,-0.004470870132198157,0.01609540954436184
OCCP_2digit_15,-0.012720459057183192,-0.0031347265371542018,0.0015760538384829415,0.008974831049767696,0.010371057771422318,-8.599377550254813e-05,-0.00011828660311528905,-0.007441996553860634,0.005070249025308837,0.002188648228084372
OCCP_2digit_16,-0.012028378581719406,-0.004914040442213372,0.014375225722800603,0.0006505029149562066,0.005829186893227324,-0.017587716503755863,-0.009365997961690613,0.0005798777326619514,0.016908507839648104,-0.003543496688981046
OCCP_2digit_17,-0.007465086179505697,-0.030731742041600438,0.0606202372476808,0.03382980171285342,-0.006440451634994763,0.022043929556009666,-0.014928920759379209,0.021790257138312057,-0.0027161566038812965,-0.023759305459395447
OCCP_2digit_18,-0.005504618548106089,-0.010635984829678492,0.007102728120071089,-0.018259142096132542,0.015247516902654091,-0.014149813443554949,0.014156171636241957,-0.005169437853409857,0.0039895712337031375,-0.006344546360587261
OCCP_2digit_19,-0.008771585239144267,-0.0063602977896682344,0.019383808701898143,0.017181075137254583,-0.010921935222741175,-0.006153657801045466,-0.005145706268216459,0.0005011386145900147,0.01830328458519486,-0.0011369464614371383
OCCP_2digit_20,-0.01501500117138458,0.006453253600362154,-0.002645822455225852,0.02479285600784696,-0.008806625172081816,-0.02138955076349725,0.002729353709340614,-0.01190255421366984,-0.012241256400691968,-0.015535368591634225
OCCP_2digit_21,-0.015830533398792614,-0.002191400625824425,-0.0035896578087475242,-0.0011132222496405895,0.006012405946059238,-0.02029319050040126,-0.00971366380709576,0.011486307263704481,0.012484815794939447,0.0013246933793902415
OCCP_2digit_22,-0.015305854483679984,-0.026256351974869235,0.033134416045352735,0.021530720507474715,0.018336354815924338,-0.018507572311337414,0.0016106005924817425,0.00013941193991463027,-0.006603594285059867,0.0076600468030303594
OCCP_2digit_23,-0.022343712849709804,0.011000716991423647,0.030473563747112555,0.04949111799398286,-0.005373415419938542,-0.004048118552301919,0.007160604645662307,-0.009651971642483208,-0.020945709158082738,-0.04470589983936279
OCCP_2digit_24,-0.0095093451498518,0.003566868548842858,0.0006624737412659599,0.005371120241865487,0.0037135051719348277,0.004804026276470577,-0.006116417947162291,0.003892926667469165,-0.007155864660370283,-0.0106364802607474
OCCP_2digit_25,0.0015519416046931168,-0.025668435768947118,0.031954127415586855,0.014810546037633909,0.006504875649968409,0.021854841158597177,0.007670233287675167,-0.00726480674482676,-0.008469760762445785,-0.032385531021698624
OCCP_2digit_26,-0.0017787692549606797,0.005077742261499773,-0.00540907644743257,0.008427166653496652,0.0039243091138077245,0.006377972417176789,0.015223058575537343,-0.0040057890988886985,-0.0056532739944318774,-0.0005678158855178809
OCCP_2digit_27,0.004035618548418358,-0.0151410536090043,0.012231134607122524,0.004286710286137515,0.01765791597746285,0.06771128067464248,0.009039751462243692,-0.016767770219590875,-0.0002441769212555404,-0.01816823214790133
OCCP_2digit_28,-0.006959430814733119,0.009337887204828985,0.005439551453093433,0.005329745999424904,0.0012883708643846594,-0.0078199741561239,0.004315589913251674,-0.006152775617495196,0.003014182164500727,-0.0026952996272963346
OCCP_2digit_29,0.006452793345858485,0.00905938894080376,0.0035367135449976697,0.004532506867410568,0.005170709167631685,0.014622039867320967,0.021382125887183967,-0.025287285595632734,0.0045444759195298915,0.002782194464713608
OCCP_2digit_30,-0.016169454195052297,0.014194727061828744,0.004567641220717793,0.010090247827307478,0.0007903963494951316,-0.0145503872215975,-0.006645230523805531,-0.001899454570100982,-0.013425310415427692,0.004967094253242954
OCCP_2digit_31,-0.01628677820872147,-0.001264127264857331,0.03221000780180691,0.02055327230412379,-0.008318674273054555,-0.01808732794641591,0.0016588692977877726,0.018949028834982312,-0.02087768824724596,0.005811458580979105
OCCP_2digit_32,-0.026526229205288687,0.011807761067733584,0.025384505867200254,0.016749253794854466,0.0024426649428333316,-0.03616008955551451,-0.012856588408428151,-0.0048024260764915425,-0.015100384008909572,-0.009533561151548318
OCCP_2digit_33,-0.008166331408581856,0.0008146284611650515,0.02585257944813843,0.015163698856586687,-0.00014790361033602942,0.0011687602400418829,-0.005375648946583462,0.008404356237763562,-0.004014925218070273,-0.004868981399227197
OCCP_2digit_34,0.00040442365886339413,0.008197941444802117,0.0019364985062854478,-0.0005197463199180306,0.0030441540045568908,0.0027108183704553073,-0.0009427473877320307,0.003070775100832564,-0.007680748668866183,0.004620107230973148
