,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
WAGP,-0.27382079463721504,-0.038091022261121724,-0.18342434491348178,-0.05163185652886506,0.14658138536096438,0.041781879112385824,-0.14385541660401716,0.09213417502210965,-0.035826004898106424,-0.019475223380411574
POVPIP,-0.22645297571640433,0.05441438737820149,-0.08325410563270697,0.034069169574795326,0.12672770856645407,0.11868946075202387,-0.14946566155336843,-0.14483337555550446,0.05229710734532926,0.08197398849847014
SEMP,-0.036498288010814894,0.14855914852862834,0.28066258622606316,-0.11474614640740485,-0.021663107983013796,0.06506624376761821,-0.09259413676716616,-0.1273354723720064,-0.07448940985997578,-0.07591275130575796
income_source_count,-0.1211160149245527,0.04451859659559132,0.06900117758753432,-0.13796798018190795,-0.003491853342348958,-0.1574122686404967,-0.05900286978522071,-0.0860247669449177,0.06915260300785152,0.10952201601905687
has_wage_income,-0.23246407638065386,-0.25687113788378246,-0.10465622316961848,-0.0657785312723379,-0.024697310374037162,-0.14782005340519866,0.033802801325417686,0.06776434133021131,0.07308381043596326,0.06883418355604626
has_self_employment,-0.0465078284959974,0.15962811147257028,0.3213590754904893,-0.11915731299954935,-0.045708241924789283,0.029377782231297382,-0.08513546507474551,-0.1331129509653381,-0.0764338265717906,-0.05321712660666326
ESR,0.288947416879574,0.1258428174158629,-0.0387151050345077,0.10964508532932352,0.023236454047675853,0.15832783074305856,-0.062413067042405124,0.03465613220482358,0.09617479941103473,0.01623519115598316
COW,-0.08541711084860118,0.1558515550926772,0.3824538594677759,0.07040340222656133,0.05543279562523401,-0.05564111045605351,-0.04765264161511203,0.10803039614042764,0.02648877992266771,-0.021499465826136377
WKL,0.2852786385649626,0.18880764493972246,-0.10966139845834337,0.14484113063027387,0.08023216695242297,0.14208831038104755,-0.008005609563090488,-0.0036060072520049946,-0.033792172253377106,-0.015920874727927664
AGEP,-0.0699178507190118,0.3116703572428442,-0.10371090521419735,-0.08013390513161761,-0.02212593918644072,-0.05291038595117631,0.13587633129776067,-0.09962784423377906,0.1513557960184453,0.1439109044917839
SEX,0.012054886435802556,0.024570294131982057,-0.05169419441638059,0.26412079377843806,-0.20341931598414142,-0.09986767928348782,0.1770753608783096,-0.16259914952094612,-0.09260317811853191,-0.038183118491148846
MAR,0.17583705003076947,-0.2815262538485987,0.08627653111139376,-0.0901945395135404,0.05515301970893144,-0.030977321748933334,-0.17482168659338218,-0.06400575520062812,-0.06728564626420049,0.03305975946862006
MIG,0.08109445448737912,-0.14961107331061332,0.050683026613276075,0.020156567007902276,0.006548314547012601,0.0014003403549138656,-0.0737497665995489,0.06442193900264863,0.008934734784075637,-0.0771909877289777
NATIVITY,0.005910783696116015,-0.0344415642850828,0.00038129462535814305,0.03612712878627472,-0.0399463457692642,0.02253274338747417,0.03384242443012436,0.12149444635245582,-0.1423289857121615,-0.0052962667429863955
RAC1P,0.0531101095543426,-0.049321432812518995,-0.0004342281871835804,-0.00999520370969971,-0.028525349879617343,0.007716638130911391,0.026731758257725585,0.15578867213343217,-0.07971356541178642,-0.02072910521820502
HISP,0.032779519967110475,-0.02715705225558088,0.013980196208165648,0.010968842627235787,0.0010155509059454476,0.01883966623189101,-0.029184829914940882,0.09147196144860131,0.027746966934736716,-0.025679619727712072
SCHL,-0.16763682373468639,0.011968398475256993,-0.028532765780740744,0.28463252025512453,-0.03346285205916182,-0.11839037362568938,-0.17620825055212652,-0.05265652555618353,0.0553241519374435,-0.12522282046332867
SCH,0.09781815271201631,-0.21014706749045217,0.10720931535963356,0.1748059431689434,0.04296977338842161,0.031885400908740036,-0.17576024356928027,-0.15593522143575744,0.13342818587368754,0.12391684793925528
currently_enrolled,0.10318989411712104,-0.21769470435981028,0.11150949975601586,0.1738589748211727,0.051503085580818626,0.035761012822083105,-0.17265918566194552,-0.1594140213854377,0.1264676935194393,0.12442839930475397
DIS,-0.1689469844163599,-0.14201134049951034,0.09761616560954431,0.10164981508687357,-0.05613368281491863,0.3947404830490214,0.19713807717641066,-0.028054395564814635,0.043219592018451713,0.028025951328980142
DEAR,-0.056793352946131706,-0.09581955573103688,0.043586653653671176,0.07955160581674757,-0.039395072423415424,0.2769058281707085,0.13945026217785841,-0.020856739899183234,-0.034904607283080424,0.018488588546159007
DEYE,-0.06699642043774304,-0.06290021546953233,0.060357451733393463,0.06650123043784541,-0.035993855914947734,0.22913340824036443,0.1282008477614995,-0.02295469146130275,0.06324267616187984,0.03371506146449715
DPHY,-0.14021065956996936,-0.13203149359999225,0.09137873194429168,0.04390393849548665,-0.0285026306706342,0.24640260952622867,0.1206151456283642,-0.005888539812174763,0.023493290616457968,0.015626778357819344
has_any_disability,0.16894698441635997,0.1420113404995103,-0.09761616560954423,-0.10164981508687362,0.05613368281491864,-0.3947404830490213,-0.19713807717641074,0.028054395564814642,-0.04321959201845163,-0.028025951328980142
STATE,-0.0,6.310887241768095e-30,8.077935669463161e-28,-0.0,-0.0,0.0,0.0,8.673617379884035e-19,-2.7755575615628914e-17,-0.0
PUMA,-0.011627650949663428,-0.06334699523714166,-0.010926988413189983,0.05820790015965212,0.015550620513791438,-0.02229398109242014,-0.020538267461948277,-0.09736614643230714,-0.020721953378192937,-0.07621838403438375
REGION,-0.0,9.860761315262648e-32,-0.0,-0.0,8.470329472543003e-22,0.0,0.0,-1.0842021724855044e-19,5.551115123125783e-17,-0.0
DIVISION,-0.0,0.0,-0.0,1.3234889800848443e-23,-4.235164736271502e-22,0.0,6.776263578034403e-21,5.421010862427522e-20,2.7755575615628914e-17,-5.551115123125783e-17
income_group_Low,0.016128218840709356,-0.08891696579455328,0.048018020907424026,-0.0346243869422057,-0.11146179363774583,-0.09514080368203073,0.14308001708126067,0.03277228882032144,-0.05519743848336006,0.042359046884570595
income_group_Medium,-0.0395441723987322,-0.0682558128287505,-0.018092702371460285,-0.03334713954530944,-0.09704632042396848,-0.12295566750757758,0.17105487174502712,0.059957414683460816,0.049402578137576245,-0.06151333961994898
income_group_High,-0.11467225221787897,-0.012039278842034835,-0.060135177611596244,0.026308376410848093,0.020700351909625846,-0.029903170268682017,-0.02299919794554011,0.05993144449626321,0.10917610209821305,0.012845563188904813
income_group_Very_High,-0.17545377900412465,0.024413314168494484,-0.13944675005329657,-0.043496561607599904,0.18477559342988792,0.12402546949646708,-0.21355454094182832,0.024058103813961205,-0.11095815824076927,-0.008921718626967445
poverty_band_100-138%,0.06385025287585518,0.0034801920567716807,0.025418600203761473,-0.0349434220984442,-0.046074246795287176,-0.0722378892194197,0.01726688734983694,0.05922366716810143,-0.06980455754372729,-0.014965215141244933
poverty_band_138-200%,0.06429774850173567,-0.018129603951110403,0.04813225845317193,-0.003098658122686789,-0.09128365803101815,-0.04487736307556045,0.10327415708396782,0.08957029872325606,-0.07405720259368223,-0.016728272532364266
poverty_band_200-400%,0.06935039449654853,-0.11953267840608679,0.0716867173879988,-0.008978515585699311,-0.06498592161515745,-0.060497908018730714,0.12405162165622573,0.10364984397096363,0.13644460171385228,-0.07986398063120817
poverty_band_>400%,-0.2085105551171521,0.11920282721666083,-0.10994709625589712,0.02598132612511023,0.1308257532904053,0.11830385543716589,-0.17796375484321142,-0.16539346846230044,-0.03445341646693665,0.09673695033765586
OCCP_2digit_01,-0.026566600232654478,-0.010772992240880654,-0.031376082310830666,0.005902077031457873,0.01804292186299476,0.017981121512192406,-0.012201796197976705,-0.014056825609961509,0.00020608089107093674,-0.02504715318365512
OCCP_2digit_02,-0.04080544687060988,0.13096525226079903,0.23614401471613822,-0.06695770914742168,-0.018366454055404147,0.04399335585393894,-0.091202160441648,-0.06090852087593762,-0.055451395259655575,-0.03750829581335512
OCCP_2digit_03,-0.007878795301980041,-0.012740728855739498,-0.008015483610588002,0.009862940266106334,-0.010203597466024342,-0.00029028627947608713,-0.014099606157354705,-0.056300011674556956,-0.037122743883863385,0.013118371738519402
OCCP_2digit_04,-0.0390301269207606,0.015188820453294716,-0.013223931206080449,-0.01014153028612959,0.030492364264615553,-0.001037934790455932,-0.035392281940880795,0.003744077115967445,0.026049344525326458,0.011046857611845179
OCCP_2digit_05,-0.011580544826295005,0.00923237544099384,-0.020227108422000532,0.003314235547707408,0.0002726169390857597,0.02301836131599872,0.019129709696620808,-0.010568354775574034,0.039057158651782706,-0.003334039329485515
OCCP_2digit_06,-0.012770133613172911,-0.006070804628205941,-0.018235359229309404,0.010045064583801886,0.0030037281823733506,0.014934508878250721,-0.0036655004269104093,0.0207045345131783,-0.019170463256303682,-0.03866457890649986
OCCP_2digit_07,-0.0250363630489655,0.0045727552231138195,-0.010044801838885838,0.01827222741714813,0.0026068873220948838,-0.0018671094453694707,-0.016912732426586842,-0.003121560634251936,-0.018802719590771465,-0.05054377557479
OCCP_2digit_08,-0.029519626186610134,-0.0006706007125786733,-0.01855957177440092,0.021131916981377983,-0.0008103466528669763,-0.002344695351925915,-0.00584686049045618,-0.007137809758095717,-0.00026722570570560713,-0.028588155776645988
OCCP_2digit_09,-0.012433593986393883,0.0010234603663068402,-0.018021306306997786,0.008079703709244136,-0.0044837862673444565,0.0017813604898838445,0.01419112590555973,0.0012893960656315737,-0.009499377744204536,-0.021452453981994662
