,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
has_wage_income,0.03650869692548696,0.5010106558925549,0.04717074002411401,0.11527250007419933,0.0644079737304219,-0.02776519333879391,-0.2885931003872783,0.05209410909225165,-0.13150735169415534,-0.06169789600969621
has_self_employment,-0.11048245909256947,-0.3304587851948517,0.4181614882213241,-0.010546682406268534,0.023191025313379066,-0.08910662673739736,-0.11959057869082741,0.00015539669437803112,0.02359871701653942,-0.07729289877825532
AGEP,-0.35112042461636955,-0.15944978641956414,-0.28033156142286586,-0.045321318426851956,0.21667213574530086,-0.04205564827639728,-0.1776952940450782,-0.008254248518144125,-0.13835950727111088,-0.045052549111121463
SEX,-0.04847321514769965,0.022161001451796187,-0.1198424768429877,0.15966062776886686,-0.07158211594451372,0.27897899226311984,0.08099961954342083,0.11760290866163965,0.11920080747801304,0.0029298359050170635
MAR,0.43982834583660924,-0.04009205561433042,0.03024317059577276,-0.21344356864613342,0.11538078412581695,-0.11180114624708645,-0.11014109814480222,0.04110183617879958,-0.08735918526403537,-0.07197819331179013
currently_enrolled,0.24987085448139051,-0.0035209644764242903,0.10080813029600083,-0.06022402232634128,0.16450071859724094,0.10864881644836127,0.23936426488953644,-0.03611615363235106,0.011863513145592806,0.04848269922474994
STATE,1.734723475976807e-18,-0.0,5.551115123125783e-17,-0.0,1.734723475976807e-17,1.8388068845354155e-16,-0.0,-5.551115123125783e-17,-0.0,2.5673907444456745e-16
PUMA,0.046064871506718154,0.0888603841727412,0.025704405053939238,-0.024875815092206485,0.14698602492093646,0.029352115169353054,0.04598929852896264,-0.002636047647309293,-0.0014581675161650766,0.08105781846061355
REGION,2.710505431213761e-20,-0.0,-2.220446049250313e-16,1.1102230246251565e-16,8.326672684688674e-17,-2.498001805406602e-16,5.551115123125783e-17,-3.191891195797325e-16,1.6653345369377348e-16,-2.7755575615628914e-16
DIVISION,-6.776263578034403e-21,-0.0,-5.551115123125783e-17,5.551115123125783e-17,1.470178145890344e-16,3.677613769070831e-16,-0.0,1.3183898417423734e-16,-1.5265566588595902e-16,2.7755575615628914e-16
income_group_Low,0.0841923556195473,0.010524573040838734,-0.017877609638534547,0.032377536032057404,-0.16131531145953165,0.4849782107129567,-0.36838494930181787,0.10240906631949727,-0.10814559137142948,-0.10426401418261723
income_group_Medium,0.030659368169639524,0.09720071237308542,-0.06950429233677514,0.3870964948229402,0.027784807851740787,-0.22667318172965475,-0.1963979301968349,-0.25917905388250034,0.10938277975468923,-0.07134371517922174
income_group_High,-0.06961948514029632,0.1750379315029651,0.04167155586738034,0.06358536053724007,0.15834028552243154,-0.11336878086662444,0.07634759364199445,0.5520114833485551,-0.13861817055943343,0.16405493750689915
income_group_Very_High,-0.1486603677239576,0.25458692631119484,0.09860836990810977,-0.34869140776530816,-0.06984321214590122,-0.10968511344971088,0.06287165753720017,-0.3075646764038533,0.016983458830272666,-0.08739244142351918
poverty_band_100-138%,0.048640307401502346,-0.09550063009019101,-0.03565124154350045,-0.06974559711684189,-0.1394221592208413,0.19368268400833805,-0.16108935741056504,0.14071474722193478,-0.03609283805409541,-0.10934825525426169
