Component,Explained_Variance,Cumulative_Variance
1,0.13490005686087359,0.13490005686087359
2,0.08292053956288398,0.21782059642375756
3,0.06676952720232254,0.2845901236260801
4,0.05955785453709503,0.3441479781631751
5,0.05242854455323215,0.39657652271640725
6,0.049408159798430905,0.44598468251483814
7,0.04721955321200536,0.4932042357268435
8,0.042021563388542245,0.5352257991153858
9,0.041737933198101665,0.5769637323134875
10,0.040065294572698605,0.6170290268861861
11,0.03913585597697675,0.6561648828631629
12,0.03787482098095767,0.6940397038441205
13,0.03598845900683284,0.7300281628509533
14,0.034944638271370815,0.7649728011223241
15,0.03264057078356265,0.7976133719058868
16,0.031408228523596746,0.8290216004294835
17,0.02989501654569682,0.8589166169751803
18,0.026900909320547204,0.8858175262957275
19,0.025122992279135774,0.9109405185748632
20,0.020043749716031803,0.9309842682908951
21,0.01931161103725092,0.950295879328146
