dataset,model,best_params,accuracy,precision,recall,f1,roc_auc
statistical_encoded,NeuralNetwork,validation,"{'learning_rate_init': 0.01, 'hidden_layer_sizes': (50,), 'alpha': 0.0001, 'activation': 'relu'}",0.8823529411764706,0.3076923076923077,0.26666666666666666,0.2857142857142857,0.7841666666666667
business_encoded,NeuralNetwork,validation,"{'learning_rate_init': 0.001, 'hidden_layer_sizes': (100,), 'alpha': 0.001, 'activation': 'tanh'}",0.913235294117647,0.5185185185185185,0.23333333333333334,0.3218390804597701,0.6539516129032258
realistic_encoded,NeuralNetwork,validation,"{'learning_rate_init': 0.01, 'hidden_layer_sizes': (50,), 'alpha': 0.001, 'activation': 'relu'}",0.9205882352941176,0.8,0.13333333333333333,0.22857142857142856,0.8645430107526881
pca_statistical,NeuralNetwork,validation,"{'learning_rate_init': 0.01, 'hidden_layer_sizes': (50,), 'alpha': 0.001, 'activation': 'relu'}",0.9058823529411765,0.45454545454545453,0.3333333333333333,0.38461538461538464,0.8225806451612903
pca_business,NeuralNetwork,validation,"{'learning_rate_init': 0.01, 'hidden_layer_sizes': (50,), 'alpha': 0.0001, 'activation': 'relu'}",0.9088235294117647,0.4722222222222222,0.2833333333333333,0.3541666666666667,0.7985483870967741
pca_realistic,NeuralNetwork,validation,"{'learning_rate_init': 0.01, 'hidden_layer_sizes': (50,), 'alpha': 0.0001, 'activation': 'tanh'}",0.8941176470588236,0.35,0.23333333333333334,0.28,0.7795161290322581
statistical_encoded,LightGBM,validation,"{'num_leaves': 50, 'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.2}",0.9235294117647059,0.6052631578947368,0.38333333333333336,0.46938775510204084,0.8879301075268818
business_encoded,LightGBM,validation,"{'num_leaves': 31, 'n_estimators': 200, 'max_depth': -1, 'learning_rate': 0.2}",0.913235294117647,0.5142857142857142,0.3,0.37894736842105264,0.8504838709677419
realistic_encoded,LightGBM,validation,"{'num_leaves': 50, 'n_estimators': 100, 'max_depth': -1, 'learning_rate': 0.1}",0.9191176470588235,0.5714285714285714,0.3333333333333333,0.42105263157894735,0.8496505376344086
pca_statistical,LightGBM,validation,"{'num_leaves': 50, 'n_estimators': 200, 'max_depth': 20, 'learning_rate': 0.2}",0.9191176470588235,0.6190476190476191,0.21666666666666667,0.32098765432098764,0.8547043010752688
pca_business,LightGBM,validation,"{'num_leaves': 31, 'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.1}",0.9117647058823529,0.5,0.18333333333333332,0.2682926829268293,0.8157526881720429
pca_realistic,LightGBM,validation,"{'num_leaves': 50, 'n_estimators': 200, 'max_depth': 10, 'learning_rate': 0.1}",0.9117647058823529,0.5,0.25,0.3333333333333333,0.8483870967741934
statistical_encoded,LogisticRegression,validation,"{'C': 0.1, 'penalty': 'l2', 'solver': 'lbfgs'}",0.913235294117647,0.5555555555555556,0.08333333333333333,0.14492753623188406,0.8088440860215053
business_encoded,LogisticRegression,validation,"{'C': 100, 'penalty': 'l2', 'solver': 'lbfgs'}",0.9161764705882353,0.5555555555555556,0.25,0.3448275862068966,0.8342204301075268
realistic_encoded,LogisticRegression,validation,"{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}",0.9220588235294118,0.6521739130434783,0.25,0.3614457831325301,0.8592741935483871
pca_statistical,LogisticRegression,validation,"{'C': 0.01, 'penalty': 'l2', 'solver': 'lbfgs'}",0.9205882352941176,0.6153846153846154,0.26666666666666666,0.37209302325581395,0.8645161290322582
pca_business,LogisticRegression,validation,"{'C': 100, 'penalty': 'l2', 'solver': 'lbfgs'}",0.9058823529411765,0.45,0.3,0.36,0.776209677419355
pca_realistic,LogisticRegression,validation,"{'C': 1, 'penalty': 'l2', 'solver': 'lbfgs'}",0.9205882352941176,0.6666666666666666,0.2,0.3076923076923077,0.823709677419355
statistical_encoded,RandomForest,validation,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 20}",0.9176470588235294,0.625,0.16666666666666666,0.2631578947368421,0.8897043010752688
business_encoded,RandomForest,validation,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 20}",0.9147058823529411,0.5416666666666666,0.21666666666666667,0.30952380952380953,0.8623118279569892
realistic_encoded,RandomForest,validation,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None}",0.9191176470588235,0.5862068965517241,0.2833333333333333,0.38202247191011235,0.863225806451613
pca_statistical,RandomForest,validation,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None}",0.9176470588235294,0.75,0.1,0.17647058823529413,0.7978360215053764
